"id","port_number","transport_protocol","service_name","description","registration_date","modification_date","reference","assignment_notes","traffic"
"153",105,"tcp","cso","CCSO name server protocol",,,,,2.76920878012562e-08
"154",105,"udp","cso","CCSO name server protocol",,,,,1.39943372136585e-09
"155",106,"tcp","3com-tsmux","3COM-TSMUX",,,,,6.43603620633352e-08
"156",106,"udp","3com-tsmux","3COM-TSMUX",,,,,4.90518096427263e-10
"157",107,"tcp","rtelnet","Remote Telnet Service",,,,,2.45617604499074e-08
"158",107,"udp","rtelnet","Remote Telnet Service",,,,,6.60545814431179e-10
"159",108,"tcp","snagas","SNA Gateway Access Server",,,,,2.32734136872951e-08
"160",108,"udp","snagas","SNA Gateway Access Server",,,,,1.9650194236716e-09
"161",109,"tcp","pop2","Post Office Protocol - Version 2",,,,,2.39549980782921e-08
"162",109,"udp","pop2","Post Office Protocol - Version 2",,,,,1.14361445378659e-10
"163",110,"tcp","pop3","Post Office Protocol - Version 3",,,,,3.98890180479124e-05
"164",110,"udp","pop3","Post Office Protocol - Version 3",,,,,4.9040348939688e-09
"165",111,"tcp","sunrpc","SUN Remote Procedure Call",,,,,9.21501114281825e-08
"166",111,"udp","sunrpc","SUN Remote Procedure Call",,,,,0
"167",112,"tcp","mcidas","McIDAS Data Transmission Protocol",,,,,2.44239045629942e-08
"168",112,"udp","mcidas","McIDAS Data Transmission Protocol",,,,,6.25115869148517e-09
"169",113,"tcp","ident",,,,,,1.00853615015307e-07
"170",113,"udp","auth","Authentication Service",,,,,2.97978282876062e-11
"171",115,"tcp","sftp","Simple File Transfer Protocol",,,,,2.21100704515929e-08
"172",115,"udp","sftp","Simple File Transfer Protocol",,,,,1.18945726653665e-10
"173",116,"tcp","ansanotify","ANSA REX Notify",,,,,2.41902699422994e-08
"174",116,"udp","ansanotify","ANSA REX Notify",,,,,5.999678118684e-10
"175",117,"tcp","uucp-path","UUCP Path Service",,,,,2.37392094097035e-08
"176",117,"udp","uucp-path","UUCP Path Service",,,,,0
"177",118,"tcp","sqlserv","SQL Services",,,,,2.29463743356218e-08
